year	step	area	stock	age	length	number
1985	1	1	gssimm	imm	len10	3
1985	1	1	gssimm	imm	len15	4
1985	1	1	gssimm	imm	len20	9
1985	1	1	gssimm	imm	len25	32
1985	1	1	gssimm	imm	len30	19
1985	1	1	gssimm	mat	len30	15
1985	1	1	gssimm	mat	len35	25
1985	1	1	gssimm	mat	len40	11
1985	1	1	gssimm	mat	len45	1
1985	1	1	gssmat	imm	len25	1
1985	1	1	gssmat	imm	len30	2
1985	1	1	gssmat	mat	len25	1
1985	1	1	gssmat	mat	len30	1
1985	1	1	gssmat	mat	len35	20
1985	1	1	gssmat	mat	len40	45
1985	1	1	gssmat	mat	len45	39
1985	1	1	gssmat	mat	len50	12
1985	1	1	gssmat	mat	len55	1
1986	1	1	gssimm	imm	len10	7
1986	1	1	gssimm	imm	len15	29
1986	1	1	gssimm	imm	len20	28
1986	1	1	gssimm	imm	len25	42
1986	1	1	gssimm	imm	len30	34
1986	1	1	gssimm	imm	len35	3
1986	1	1	gssimm	mat	len30	8
1986	1	1	gssimm	mat	len35	20
1986	1	1	gssimm	mat	len40	7
1986	1	1	gssmat	imm	len15	1
1986	1	1	gssmat	imm	len35	6
1986	1	1	gssmat	mat	len35	19
1986	1	1	gssmat	mat	len40	67
1986	1	1	gssmat	mat	len45	31
1986	1	1	gssmat	mat	len50	9
1987	1	1	gssimm	imm	len10	24
1987	1	1	gssimm	imm	len15	29
1987	1	1	gssimm	imm	len20	27
1987	1	1	gssimm	imm	len25	47
1987	1	1	gssimm	imm	len30	43
1987	1	1	gssimm	imm	len35	8
1987	1	1	gssimm	imm	len5	1
1987	1	1	gssimm	mat	len20	1
1987	1	1	gssimm	mat	len30	3
1987	1	1	gssimm	mat	len35	10
1987	1	1	gssimm	mat	len40	6
1987	1	1	gssmat	imm	len30	2
1987	1	1	gssmat	imm	len35	2
1987	1	1	gssmat	mat	len30	1
1987	1	1	gssmat	mat	len35	17
1987	1	1	gssmat	mat	len40	38
1987	1	1	gssmat	mat	len45	28
1987	1	1	gssmat	mat	len50	6
1988	1	1	gssimm	imm	len10	1
1988	1	1	gssimm	imm	len15	20
1988	1	1	gssimm	imm	len20	32
1988	1	1	gssimm	imm	len25	29
1988	1	1	gssimm	imm	len30	18
1988	1	1	gssimm	imm	len35	2
1988	1	1	gssimm	mat	len30	2
1988	1	1	gssimm	mat	len35	5
1988	1	1	gssimm	mat	len40	6
1988	1	1	gssimm	mat	len45	1
1988	1	1	gssmat	imm	len30	4
1988	1	1	gssmat	imm	len35	4
1988	1	1	gssmat	mat	len30	1
1988	1	1	gssmat	mat	len35	17
1988	1	1	gssmat	mat	len40	28
1988	1	1	gssmat	mat	len45	20
1988	1	1	gssmat	mat	len50	6
1989	1	1	gssimm	imm	len15	12
1989	1	1	gssimm	imm	len20	21
1989	1	1	gssimm	imm	len25	18
1989	1	1	gssimm	imm	len30	15
1989	1	1	gssimm	imm	len35	1
1989	1	1	gssimm	mat	len30	3
1989	1	1	gssimm	mat	len35	6
1989	1	1	gssimm	mat	len45	1
1989	1	1	gssmat	imm	len30	2
1989	1	1	gssmat	mat	len35	9
1989	1	1	gssmat	mat	len40	19
1989	1	1	gssmat	mat	len45	7
1989	1	1	gssmat	mat	len55	1
1990	1	1	gssimm	imm	len15	6
1990	1	1	gssimm	imm	len20	6
1990	1	1	gssimm	imm	len25	10
1990	1	1	gssimm	imm	len30	20
1990	1	1	gssimm	mat	len30	10
1990	1	1	gssimm	mat	len35	6
1990	1	1	gssmat	imm	len30	3
1990	1	1	gssmat	mat	len30	1
1990	1	1	gssmat	mat	len35	8
1990	1	1	gssmat	mat	len40	9
1990	1	1	gssmat	mat	len45	7
1990	1	1	gssmat	mat	len50	3
1991	1	1	gssimm	imm	len15	5
1991	1	1	gssimm	imm	len20	16
1991	1	1	gssimm	imm	len25	13
1991	1	1	gssimm	imm	len30	8
1991	1	1	gssimm	imm	len35	1
1991	1	1	gssimm	mat	len30	7
1991	1	1	gssimm	mat	len35	15
1991	1	1	gssimm	mat	len40	1
1991	1	1	gssimm	mat	len45	1
1991	1	1	gssmat	imm	len30	3
1991	1	1	gssmat	imm	len35	1
1991	1	1	gssmat	mat	len30	2
1991	1	1	gssmat	mat	len35	18
1991	1	1	gssmat	mat	len40	9
1991	1	1	gssmat	mat	len45	4
1992	1	1	gssimm	imm	len10	2
1992	1	1	gssimm	imm	len15	4
1992	1	1	gssimm	imm	len20	9
1992	1	1	gssimm	imm	len25	2
1992	1	1	gssimm	imm	len30	1
1992	1	1	gssimm	mat	len35	1
1992	1	1	gssmat	imm	len35	1
1992	1	1	gssmat	mat	len35	3
1992	1	1	gssmat	mat	len40	1
1992	1	1	gssmat	mat	len50	1
1993	1	1	gssimm	imm	len15	14
1993	1	1	gssimm	imm	len20	13
1993	1	1	gssimm	imm	len25	1
1993	1	1	gssimm	imm	len30	7
1993	1	1	gssimm	mat	len30	3
1993	1	1	gssimm	mat	len35	14
1993	1	1	gssimm	mat	len40	2
1993	1	1	gssmat	imm	len30	1
1993	1	1	gssmat	mat	len30	3
1993	1	1	gssmat	mat	len35	26
1993	1	1	gssmat	mat	len40	14
1993	1	1	gssmat	mat	len45	1
1994	1	1	gssimm	imm	len15	11
1994	1	1	gssimm	imm	len20	12
1994	1	1	gssimm	imm	len25	6
1994	1	1	gssimm	imm	len30	5
1994	1	1	gssmat	imm	len20	1
1994	1	1	gssmat	imm	len25	5
1994	1	1	gssmat	imm	len30	2
1994	1	1	gssmat	imm	len35	1
1994	1	1	gssmat	mat	len35	6
1994	1	1	gssmat	mat	len40	2
1995	1	1	gssimm	imm	len20	2
1995	1	1	gssimm	imm	len25	2
1995	1	1	gssimm	imm	len30	1
1995	1	1	gssimm	mat	len30	1
1995	1	1	gssmat	mat	len40	2
2000	1	1	gssimm	imm	len20	34
2000	1	1	gssimm	imm	len25	41
2000	1	1	gssimm	imm	len30	13
2000	1	1	gssimm	imm	len35	1
2000	1	1	gssimm	mat	len30	2
2000	1	1	gssimm	mat	len35	6
2000	1	1	gssmat	imm	len25	4
2000	1	1	gssmat	imm	len30	1
2000	1	1	gssmat	imm	len35	1
2000	1	1	gssmat	mat	len35	4
2000	1	1	gssmat	mat	len40	4
2000	1	1	gssmat	mat	len45	4
2001	1	1	gssimm	imm	len20	27
2001	1	1	gssimm	imm	len25	25
2001	1	1	gssimm	imm	len30	14
2001	1	1	gssimm	mat	len35	1
2001	1	1	gssmat	imm	len30	2
2001	1	1	gssmat	imm	len35	2
2001	1	1	gssmat	mat	len30	1
2001	1	1	gssmat	mat	len35	3
2001	1	1	gssmat	mat	len45	2
2005	1	1	gssimm	imm	len15	18
2005	1	1	gssimm	imm	len20	21
2005	1	1	gssimm	imm	len25	29
2005	1	1	gssimm	imm	len30	65
2005	1	1	gssimm	imm	len35	6
2005	1	1	gssimm	mat	len30	3
2005	1	1	gssmat	imm	len30	17
2005	1	1	gssmat	imm	len35	7
2005	1	1	gssmat	mat	len30	1
2005	1	1	gssmat	mat	len35	26
2005	1	1	gssmat	mat	len40	11
2006	1	1	gssimm	imm	len15	6
2006	1	1	gssimm	imm	len20	38
2006	1	1	gssimm	imm	len25	17
2006	1	1	gssimm	imm	len30	37
2006	1	1	gssimm	imm	len35	4
2006	1	1	gssimm	mat	len30	6
2006	1	1	gssimm	mat	len35	4
2006	1	1	gssimm	mat	len40	1
2006	1	1	gssmat	imm	len30	4
2006	1	1	gssmat	imm	len35	2
2006	1	1	gssmat	mat	len30	2
2006	1	1	gssmat	mat	len35	14
2006	1	1	gssmat	mat	len40	10
2006	1	1	gssmat	mat	len45	1
2007	1	1	gssimm	imm	len15	27
2007	1	1	gssimm	imm	len20	14
2007	1	1	gssimm	imm	len25	13
2007	1	1	gssimm	imm	len30	39
2007	1	1	gssimm	imm	len35	10
2007	1	1	gssimm	mat	len30	3
2007	1	1	gssimm	mat	len35	8
2007	1	1	gssmat	imm	len25	2
2007	1	1	gssmat	imm	len30	15
2007	1	1	gssmat	imm	len35	24
2007	1	1	gssmat	mat	len30	6
2007	1	1	gssmat	mat	len35	32
2007	1	1	gssmat	mat	len40	6
2007	1	1	gssmat	mat	len45	1
2008	1	1	gssimm	imm	len15	12
2008	1	1	gssimm	imm	len20	36
2008	1	1	gssimm	imm	len25	19
2008	1	1	gssimm	imm	len30	38
2008	1	1	gssimm	imm	len35	4
2008	1	1	gssimm	mat	len30	6
2008	1	1	gssimm	mat	len35	4
2008	1	1	gssimm	mat	len40	1
2008	1	1	gssmat	imm	len25	2
